,OPID,WoPC,Average_NO2,current_no2_y
626,59120186521,1023,21.479099541631456,24.805112630000004
628,58965179112,1096,35.41038081218968,31.04651945
629,59027188040,1096,35.41038081218968,33.05418827999999
634,59120185932,1096,35.41038081218968,35.081574665000005
636,59123662830,1096,35.41038081218968,12.47699792
637,59154678299,1096,35.41038081218968,38.94947563
638,59154678857,1096,35.41038081218968,37.335847724999994
640,59213191884,1096,35.41038081218968,30.728937785
642,59247822356,1096,35.41038081218968,32.24977043333333
645,58965183483,1017,27.426007995028602,35.84242079
646,59027183204,1017,27.426007995028602,21.85592377
648,59182189404,1017,27.426007995028602,24.18315742
649,59247817613,1017,27.426007995028602,25.17789578
651,58968543790,1069,21.12580736932464,30.13667125
653,58999646865,1069,21.12580736932464,30.360506315000002
655,59027186831,1069,21.12580736932464,31.63523104
656,59058190768,1069,21.12580736932464,21.247469345
658,59123659947,1069,21.12580736932464,26.815655986666666
661,59151187730,1069,21.12580736932464,25.857642308333336
667,59151193930,1069,21.12580736932464,20.2574941115
673,59154695969,1069,21.12580736932464,26.561856005000003
675,59213188815,1069,21.12580736932464,36.15348171
676,59275219195,1069,21.12580736932464,21.35665256
677,58968574635,1024,22.617162251034888,22.17979053
678,58996179825,1024,22.617162251034888,26.01133387
679,58996183576,1024,22.617162251034888,20.29839453
680,59061618996,1024,22.617162251034888,26.95019158
681,58968579719,1067,26.917443300685665,21.27637096
682,59182190210,1067,26.917443300685665,31.135680300000004
685,58968583160,1078,32.23307735738204,36.420316549999995
687,58996183514,1078,32.23307735738204,32.5552315
689,58996183731,1078,32.23307735738204,28.521210775
691,58996187389,1078,32.23307735738204,31.87278941
693,59027183669,1078,32.23307735738204,32.23394465333334
696,59058186769,1078,32.23307735738204,38.20668398
697,59058188257,1078,32.23307735738204,17.72419391
698,59058189652,1078,32.23307735738204,35.555039173333334
701,59061611742,1078,32.23307735738204,38.9960527
703,59061615989,1078,32.23307735738204,25.79172526
705,59120184599,1078,32.23307735738204,27.271593786666667
708,59275220311,1078,32.23307735738204,34.841489734999996
712,58968584462,1091,32.49466769618428,20.92623409
